execucao_id,data_entrega,loja,hora_recebimento,demanda_volume,demanda_peso,tipo_entrega,jornada,placa,tipologia,volume_entregue,peso_entregue,capacidade_volume,capacidade_peso,valorFrete,hora_saida
1,2022-01-28,L594,00:09,16.33,3011.8,G,2,AUM6B20,3/4,19.959999999999997,4091.9,36.0,5000.0,1025.831,20:04
1,2022-01-28,0_CDRJ,04:04,0.0,0.0,G,2,AUM6B20,3/4,19.959999999999997,4091.9,36.0,5000.0,1025.831,20:04
1,2022-01-27,L713,20:31,3.63,1080.1,G,2,AUM6B20,3/4,19.959999999999997,4091.9,36.0,5000.0,1025.831,20:04
1,2022-01-27,5275,09:00,14.56,2371.5,G,1,AUO8G98,3/4,23.35,4550.8,36.0,5000.0,750.46,08:04
1,2022-01-27,1240,12:58,8.79,2179.3,G,1,AUO8G98,3/4,23.35,4550.8,36.0,5000.0,750.46,08:04
1,2022-01-27,0_CDRJ,16:58,0.0,0.0,G,1,AUO8G98,3/4,23.35,4550.8,36.0,5000.0,750.46,08:04
1,2022-01-28,9283,00:09,2.06,654.0,G,2,AUO8G98,3/4,12.450000000000001,3573.7,36.0,5000.0,538.9595,20:03
1,2022-01-28,0_CDRJ,04:01,0.0,0.0,G,2,AUO8G98,3/4,12.450000000000001,3573.7,36.0,5000.0,538.9595,20:03
1,2022-01-27,L900,20:59,10.39,2919.7,G,2,AUO8G98,3/4,12.450000000000001,3573.7,36.0,5000.0,538.9595,20:03
1,2022-01-27,L359,08:00,12.87,2514.1,G,1,CFZ0B84,3/4,27.22,5142.2,36.0,6800.0,1527.93,06:55
1,2022-01-27,L767,11:30,14.35,2628.1,G,1,CFZ0B84,3/4,27.22,5142.2,36.0,6800.0,1527.93,06:55
1,2022-01-27,0_CDRJ,15:14,0.0,0.0,G,1,CFZ0B84,3/4,27.22,5142.2,36.0,6800.0,1527.93,06:55
1,2022-01-28,9035,00:09,1.17,540.7,G,2,CFZ0B84,3/4,1.17,540.7,36.0,6800.0,528.7595,22:25
1,2022-01-28,0_CDRJ,04:59,0.0,0.0,G,2,CFZ0B84,3/4,1.17,540.7,36.0,6800.0,528.7595,22:25
1,2022-01-27,L774,12:00,11.82,2398.7,R,1,CUD6H30,3/4,11.82,2398.7,26.0,3000.0,602.99,11:19
1,2022-01-27,0_CDRJ,13:10,0.0,0.0,G,1,CUD6H30,3/4,11.82,2398.7,26.0,3000.0,602.99,11:19
1,2022-01-27,L650,16:09,7.99,1720.4,R,2,CUD6H30,3/4,7.99,1720.4,26.0,3000.0,528.7595,14:55
1,2022-01-27,0_CDRJ,18:01,0.0,0.0,G,2,CUD6H30,3/4,7.99,1720.4,26.0,3000.0,528.7595,14:55
1,2022-01-27,9099,09:00,2.38,1084.8,G,1,DNK9877,TOCO,28.509999999999998,5533.0,46.0,6000.0,691.87,08:05
1,2022-01-27,L135,12:44,26.13,4448.2,G,1,DNK9877,TOCO,28.509999999999998,5533.0,46.0,6000.0,691.87,08:05
1,2022-01-27,0_CDRJ,16:49,0.0,0.0,G,1,DNK9877,TOCO,28.509999999999998,5533.0,46.0,6000.0,691.87,08:05
1,2022-01-27,1451,07:00,11.53,3976.0,R,1,DQW2H03,3/4,11.53,3976.0,25.0,4200.0,645.47,06:09
1,2022-01-27,0_CDRJ,08:18,0.0,0.0,G,1,DQW2H03,3/4,11.53,3976.0,25.0,4200.0,645.47,06:09
1,2022-01-27,L529,21:09,10.15,2584.7,R,2,DQW2H03,3/4,10.15,2584.7,25.0,4200.0,528.7595,20:14
1,2022-01-27,0_CDRJ,22:24,0.0,0.0,G,2,DQW2H03,3/4,10.15,2584.7,25.0,4200.0,528.7595,20:14
1,2022-01-27,L057,06:30,10.01,2118.8,G,1,EJX7489,TRUCK,48.8,8961.7,63.0,13000.0,757.32,04:59
1,2022-01-27,L095,10:45,38.79,6842.9,G,1,EJX7489,TRUCK,48.8,8961.7,63.0,13000.0,757.32,04:59
1,2022-01-27,0_CDRJ,14:25,0.0,0.0,G,1,EJX7489,TRUCK,48.8,8961.7,63.0,13000.0,757.32,04:59
1,2022-01-28,0_CDRJ,01:49,0.0,0.0,G,2,EJX7489,TRUCK,50.33,6987.9,63.0,13000.0,687.4970000000001,19:37
1,2022-01-27,L067,21:09,50.33,6987.9,G,2,EJX7489,TRUCK,50.33,6987.9,63.0,13000.0,687.4970000000001,19:37
1,2022-01-27,L318,08:00,30.79,4913.8,G,1,ELW7C61,TOCO,39.989999999999995,6980.9,55.0,7000.0,1685.05,06:22
1,2022-01-27,L662,12:37,9.2,2067.1,G,1,ELW7C61,TOCO,39.989999999999995,6980.9,55.0,7000.0,1685.05,06:22
1,2022-01-27,0_CDRJ,15:55,0.0,0.0,G,1,ELW7C61,TOCO,39.989999999999995,6980.9,55.0,7000.0,1685.05,06:22
1,2022-01-28,9501,00:09,2.22,537.9,G,2,ELW7C61,TOCO,3.6500000000000004,953.5999999999999,55.0,7000.0,607.9794999999999,20:03
1,2022-01-28,0_CDRJ,04:00,0.0,0.0,G,2,ELW7C61,TOCO,3.6500000000000004,953.5999999999999,55.0,7000.0,607.9794999999999,20:03
1,2022-01-27,9314,20:55,1.43,415.7,G,2,ELW7C61,TOCO,3.6500000000000004,953.5999999999999,55.0,7000.0,607.9794999999999,20:03
1,2022-01-27,1021,08:29,11.34,2389.8,G,1,EMU9C26,TOCO,26.4,5623.6,42.0,7000.0,703.87,07:33
1,2022-01-27,L526,13:00,15.06,3233.8,G,1,EMU9C26,TOCO,26.4,5623.6,42.0,7000.0,703.87,07:33
1,2022-01-27,0_CDRJ,17:33,0.0,0.0,G,1,EMU9C26,TOCO,26.4,5623.6,42.0,7000.0,703.87,07:33
1,2022-01-28,1000,00:09,24.57,4512.5,G,2,EMU9C26,TOCO,30.08,5901.1,42.0,7000.0,1593.5375,20:18
1,2022-01-28,0_CDRJ,03:49,0.0,0.0,G,2,EMU9C26,TOCO,30.08,5901.1,42.0,7000.0,1593.5375,20:18
1,2022-01-27,1444,20:35,5.51,1388.6,G,2,EMU9C26,TOCO,30.08,5901.1,42.0,7000.0,1593.5375,20:18
1,2022-01-27,L019,06:00,38.71,6998.9,G,1,EQU3D67,TRUCK,38.71,6998.9,72.0,13040.0,757.32,02:51
1,2022-01-27,0_CDRJ,12:14,0.0,0.0,G,1,EQU3D67,TRUCK,38.71,6998.9,72.0,13040.0,757.32,02:51
1,2022-01-27,L003,19:09,50.52,7587.9,G,2,EQU3D67,TRUCK,50.52,7587.9,72.0,13040.0,659.022,17:35
1,2022-01-27,0_CDRJ,23:39,0.0,0.0,G,2,EQU3D67,TRUCK,50.52,7587.9,72.0,13040.0,659.022,17:35
1,2022-01-27,L709,06:00,13.18,2194.0,R,1,KOZ7790,3/4,13.18,2194.0,31.0,3016.0,622.07,05:03
1,2022-01-27,0_CDRJ,07:23,0.0,0.0,G,1,KOZ7790,3/4,13.18,2194.0,31.0,3016.0,622.07,05:03
1,2022-01-27,L523,16:09,7.29,1401.2,R,2,KOZ7790,3/4,7.29,1401.2,31.0,3016.0,528.7595,15:13
1,2022-01-27,0_CDRJ,17:32,0.0,0.0,G,2,KOZ7790,3/4,7.29,1401.2,31.0,3016.0,528.7595,15:13
1,2022-01-27,L858,08:00,12.74,2906.7,R,1,KQY9F44,3/4,12.74,2906.7,31.0,3000.0,645.47,07:08
1,2022-01-27,0_CDRJ,09:19,0.0,0.0,G,1,KQY9F44,3/4,12.74,2906.7,31.0,3000.0,645.47,07:08
1,2022-01-27,L602,12:09,3.489150594993845,899.1999999999998,R,2,KQY9F44,3/4,12.749150594993845,2885.5,31.0,3000.0,959.0379999999999,11:16
1,2022-01-27,1108,13:27,9.26,1986.3,R,2,KQY9F44,3/4,12.749150594993845,2885.5,31.0,3000.0,959.0379999999999,11:16
1,2022-01-27,0_CDRJ,14:56,0.0,0.0,G,2,KQY9F44,3/4,12.749150594993845,2885.5,31.0,3000.0,959.0379999999999,11:16
1,2022-01-27,1033,06:30,7.97,2400.1,G,1,KVU8007,3/4,7.97,2400.1,28.0,3000.0,645.47,04:15
1,2022-01-27,0_CDRJ,11:43,0.0,0.0,G,1,KVU8007,3/4,7.97,2400.1,28.0,3000.0,645.47,04:15
1,2022-01-27,L090,07:00,12.51,2530.7,G,1,KYC7660,3/4,12.51,2530.7,28.0,5993.0,622.07,03:55
1,2022-01-27,0_CDRJ,13:00,0.0,0.0,G,1,KYC7660,3/4,12.51,2530.7,28.0,5993.0,622.07,03:55
1,2022-01-27,L540,17:00,17.56,3023.7,G,1,LIM7G89,3/4,17.56,3023.7,26.0,3500.0,622.07,14:03
1,2022-01-27,0_CDRJ,22:50,0.0,0.0,G,1,LIM7G89,3/4,17.56,3023.7,26.0,3500.0,622.07,14:03
1,2022-01-27,5223,08:00,12.5,2369.1,R,1,LLT4010,3/4,12.5,2369.1,31.0,3000.0,555.98,06:27
1,2022-01-27,0_CDRJ,10:18,0.0,0.0,G,1,LLT4010,3/4,12.5,2369.1,31.0,3000.0,555.98,06:27
1,2022-01-27,L602,12:09,11.640849405006156,3000.0,R,2,LLT4010,3/4,11.640849405006156,3000.0,31.0,3000.0,959.0379999999999,11:16
1,2022-01-27,0_CDRJ,13:29,0.0,0.0,G,2,LLT4010,3/4,11.640849405006156,3000.0,31.0,3000.0,959.0379999999999,11:16
1,2022-01-27,L175,14:05,0.0,0.0,G,1,LLT9B49,3/4,10.52,2115.3,26.0,5000.0,622.07,12:60
1,2022-01-27,L560,19:00,10.52,2115.3,G,1,LLT9B49,3/4,10.52,2115.3,26.0,5000.0,622.07,12:60
1,2022-01-27,0_CDRJ,22:59,0.0,0.0,G,1,LLT9B49,3/4,10.52,2115.3,26.0,5000.0,622.07,12:60
1,2022-01-27,5022,11:00,12.19,2614.6,R,1,LMB7991,3/4,12.19,2614.6,30.0,4000.0,602.99,10:05
